iter	Passed	Remaining
398	117003	6158
399	117267	5863
400	117508	5567
401	117767	5273
402	117915	4974
403	118135	4678
404	118356	4383
405	118620	4090
406	118787	3794
407	118946	3498
408	119089	3202
409	119343	2910
410	119572	2618
411	119812	2326
412	119996	2033
413	120269	1743
414	120365	1450
415	120459	1158
416	120777	868
417	121047	579
418	121250	289
419	121565	0
