iter	RMSE
242	0.151104017
243	0.1510361527
244	0.1510080959
245	0.1509769979
246	0.1508631681
247	0.1508045739
248	0.1507873722
249	0.1507857801
250	0.1507786506
251	0.1507768679
252	0.1506759628
253	0.1506526196
254	0.1505988915
255	0.1505451205
256	0.1505221506
257	0.1504712532
258	0.1504281852
259	0.1503677797
260	0.1495967444
261	0.1495235547
262	0.149507519
263	0.1494894042
264	0.1494611218
265	0.1488518271
266	0.1487554519
267	0.1487120146
268	0.148696563
269	0.1486862506
270	0.1486613331
271	0.1486345228
272	0.1486226149
273	0.1485967424
274	0.148517518
275	0.1484814805
276	0.1483874188
277	0.1483315444
278	0.1482831744
279	0.148247941
280	0.1482348317
281	0.1480888154
282	0.1480621834
283	0.1480475577
284	0.1480277068
285	0.1479906642
286	0.1479723062
287	0.147883659
288	0.1478511467
289	0.1478338589
290	0.147809992
291	0.1477592698
292	0.147695685
293	0.1476309332
294	0.1475774895
295	0.1475743309
296	0.1474436186
297	0.1473543918
298	0.1472727636
299	0.1472453709
300	0.1472034689
301	0.1471628767
302	0.1471485058
303	0.1470717637
304	0.1470624186
305	0.1470481489
306	0.1469449124
307	0.1469071474
308	0.146856478
309	0.1467501678
310	0.1467348007
311	0.1466567886
312	0.1466275147
313	0.1465768388
314	0.1465093858
315	0.1464980673
316	0.1464045993
317	0.1463928901
318	0.1463816631
319	0.1463778301
320	0.1462760573
321	0.146195099
322	0.146181775
323	0.1461153824
324	0.1460894898
325	0.1460504306
326	0.146024831
327	0.1460027709
328	0.1459856561
329	0.1459732009
330	0.1458744698
331	0.1458509813
332	0.145824443
333	0.1458143145
334	0.1458029902
335	0.1457404942
336	0.1457228637
337	0.145701651
338	0.1456164997
339	0.1456036552
340	0.1455949791
341	0.1455262842
342	0.145506093
343	0.1454962863
344	0.145466759
345	0.1454545026
346	0.1454349077
347	0.1453992087
348	0.145356757
349	0.1453548131
350	0.1453509735
351	0.1453042034
352	0.1452933931
353	0.1452055869
354	0.1451955872
355	0.1451347021
356	0.1451256798
357	0.1451140971
358	0.1451059651
359	0.1450951236
360	0.1450906431
361	0.1450826038
362	0.1450711863
363	0.145060215
364	0.1450495454
365	0.1450124557
366	0.1450020836
367	0.144963899
368	0.144955079
369	0.1449452052
370	0.1449302586
371	0.1448298612
372	0.1448157316
373	0.1447593504
374	0.1447329859
375	0.1447275455
376	0.1446781708
377	0.1446021186
378	0.1445667907
379	0.1445396724
380	0.1445304265
381	0.144521497
382	0.1445128685
383	0.1444885181
384	0.1444865128
385	0.1444761184
386	0.1444006175
387	0.144377969
388	0.1443699332
389	0.1443621621
390	0.1443546444
391	0.1443190375
392	0.1443118168
393	0.1443072159
394	0.1443028835
395	0.1442982478
396	0.1442897058
397	0.1442780711
398	0.1442671156
399	0.1442430084
400	0.1442420963
401	0.1442328742
402	0.1442289293
403	0.1442274676
404	0.1442254745
405	0.1442184874
406	0.1442118424
407	0.1442054003
408	0.1442017906
409	0.1441995567
410	0.1441943958
411	0.1441535041
412	0.1441472903
413	0.1440775027
414	0.1440714765
415	0.1440656285
416	0.1440183767
417	0.1432718313
418	0.1432359714
419	0.1432291677
